Date,Port,Month,BDI,BDI_Inertia,Rain_Forecast,Wind_Forecast,Fog_Risk,Target_Delay
2020-03-12,Ponta da Madeira,3,633.0,502.3,314.1,17.9,0.0,15.5
2020-03-12,Tubarao,3,633.0,502.3,0.8,9.0,0.0,0.65
2020-03-12,Itaguai,3,633.0,502.3,43.7,7.7,0.0,5.38
2020-03-12,Port Hedland,3,633.0,502.3,4.8,15.4,0.0,0.84
2020-03-12,Dampier,3,633.0,502.3,17.2,37.7,0.0,1.1
2020-03-12,Saldanha Bay,3,633.0,502.3,9.4,21.9,0.13,0.44
2020-03-12,Taboneo,3,633.0,502.3,213.3,16.4,0.0,15.31
2020-03-12,Kamsar,3,633.0,502.3,182.1,21.6,0.0,15.82
2020-03-12,Vancouver,3,633.0,502.3,156.2,19.9,0.07,8.31
2020-03-12,Zhangjiagang,3,633.0,502.3,190.2,11.9,0.33,8.33
2020-03-12,Nantong,3,633.0,502.3,85.8,14.6,0.3,2.54
2020-03-12,Nanjing,3,633.0,502.3,217.2,18.4,0.37,8.11
2020-03-12,Jiangyin,3,633.0,502.3,250.2,9.8,0.33,6.29
2020-03-12,Caofeidian,3,633.0,502.3,83.4,23.6,0.3,3.55
2020-03-12,Tianjin,3,633.0,502.3,96.3,13.0,0.27,1.15
2020-03-12,Jingtang,3,633.0,502.3,106.2,25.5,0.3,1.27
2020-03-12,Qinhuangdao,3,633.0,502.3,119.0,25.6,0.3,4.02
2020-03-12,Dalian,3,633.0,502.3,17.4,17.0,0.27,0.49
2020-03-12,Yingkou,3,633.0,502.3,4.2,24.8,0.27,0.7
2020-03-12,Qingdao,3,633.0,502.3,74.5,24.2,0.27,1.57
2020-03-12,Rizhao,3,633.0,502.3,84.0,15.1,0.27,1.49
2020-03-12,Lianyungang,3,633.0,502.3,136.5,20.1,0.27,1.82
2020-03-12,Ningbo,3,633.0,502.3,71.9,29.6,0.15,4.48
2020-03-12,Zhoushan,3,633.0,502.3,11.5,30.8,0.15,1.63
2020-03-12,Fangcheng,3,633.0,502.3,36.0,13.8,0.0,2.63
2020-03-12,Zhanjiang,3,633.0,502.3,177.3,17.7,0.09,8.03
2020-03-12,Guangzhou,3,633.0,502.3,86.5,25.6,0.0,4.1
2020-03-12,Krishnapatnam,3,633.0,502.3,42.1,14.4,0.0,4.51
2020-03-12,Mangalore,3,633.0,502.3,710.3,15.3,0.0,15.38
2020-03-12,Gwangyang,3,633.0,502.3,36.5,19.2,0.0,1.16
2020-03-12,Teluk Rubiah,3,633.0,502.3,67.2,19.1,0.0,1.68
2020-03-13,Ponta da Madeira,3,631.0,506.3,454.0,20.0,0.0,15.85
2020-03-13,Tubarao,3,631.0,506.3,262.3,22.6,0.0,15.28
2020-03-13,Itaguai,3,631.0,506.3,210.4,8.9,0.0,15.99
2020-03-13,Port Hedland,3,631.0,506.3,67.0,28.3,0.0,1.75
2020-03-13,Dampier,3,631.0,506.3,84.4,20.3,0.0,1.16
2020-03-13,Saldanha Bay,3,631.0,506.3,1.1,16.6,0.13,0.47
2020-03-13,Taboneo,3,631.0,506.3,310.8,12.4,0.0,15.51
2020-03-13,Kamsar,3,631.0,506.3,224.8,14.9,0.0,15.66
2020-03-13,Vancouver,3,631.0,506.3,105.3,14.2,0.07,6.28
2020-03-13,Zhangjiagang,3,631.0,506.3,13.6,21.2,0.33,1.11
2020-03-13,Nantong,3,631.0,506.3,39.3,25.9,0.3,4.64
2020-03-13,Nanjing,3,631.0,506.3,169.1,16.5,0.37,5.76
2020-03-13,Jiangyin,3,631.0,506.3,17.7,18.2,0.33,3.91
2020-03-13,Caofeidian,3,631.0,506.3,54.9,19.7,0.3,3.95
2020-03-13,Tianjin,3,631.0,506.3,79.4,18.8,0.27,1.06
2020-03-13,Jingtang,3,631.0,506.3,8.9,19.3,0.3,0.59
2020-03-13,Qinhuangdao,3,631.0,506.3,55.2,32.7,0.3,1.14
2020-03-13,Dalian,3,631.0,506.3,86.9,20.4,0.27,0.54
2020-03-13,Yingkou,3,631.0,506.3,36.8,28.6,0.27,1.33
2020-03-13,Qingdao,3,631.0,506.3,41.5,26.3,0.27,0.85
2020-03-13,Rizhao,3,631.0,506.3,51.9,14.2,0.27,1.08
2020-03-13,Lianyungang,3,631.0,506.3,64.7,11.2,0.27,1.05
2020-03-13,Ningbo,3,631.0,506.3,29.8,13.0,0.15,1.17
2020-03-13,Zhoushan,3,631.0,506.3,213.3,19.1,0.15,6.42
2020-03-13,Fangcheng,3,631.0,506.3,127.7,12.2,0.0,7.14
2020-03-13,Zhanjiang,3,631.0,506.3,71.4,32.0,0.09,4.58
2020-03-13,Guangzhou,3,631.0,506.3,93.7,15.6,0.0,4.65
2020-03-13,Krishnapatnam,3,631.0,506.3,138.3,14.2,0.0,13.49
2020-03-13,Mangalore,3,631.0,506.3,185.5,15.3,0.0,15.19
2020-03-13,Gwangyang,3,631.0,506.3,100.4,9.9,0.0,1.64
2020-03-13,Teluk Rubiah,3,631.0,506.3,16.1,19.5,0.0,1.19
2020-03-16,Ponta da Madeira,3,623.0,509.8,87.1,20.0,0.0,9.54
2020-03-16,Tubarao,3,623.0,509.8,246.8,18.3,0.0,16.01
2020-03-16,Itaguai,3,623.0,509.8,289.0,13.7,0.0,15.23
2020-03-16,Port Hedland,3,623.0,509.8,24.4,23.0,0.0,0.63
2020-03-16,Dampier,3,623.0,509.8,79.2,13.7,0.0,1.57
2020-03-16,Saldanha Bay,3,623.0,509.8,25.2,25.6,0.13,1.47
2020-03-16,Taboneo,3,623.0,509.8,148.4,14.3,0.0,15.48
2020-03-16,Kamsar,3,623.0,509.8,79.8,14.7,0.0,8.48
