date,route,season,month,significant_wave_height_m,wind_speed_knots,sea_state_code,speed_reduction_pct,fuel_increase_pct,voyage_delay_days
1/3/2025,australia_south_korea,winter,1,1.7,14.7,3,14.37,8.6,0.656
1/3/2025,south_africa_china,winter,1,3.02,11,5,22,14.5,1.524
1/4/2025,indonesia_india,winter,1,1.71,8.8,3,9.76,4.24,0.431
1/5/2025,west_africa_india,winter,1,1.96,14.2,3,16.01,9.78,0.768
1/5/2025,brazil_china,winter,1,2.16,12.5,3,16.27,9.91,1.331
1/5/2025,brazil_malaysia,winter,1,2.6,18.1,3,24.31,16.82,1.746
1/5/2025,canada_china,winter,1,2.5,11.2,3,17.95,11.58,0.925
1/5/2025,australia_china,winter,1,3.26,14.2,5,26.44,15.9,1.354
1/7/2025,indonesia_india,winter,1,2.56,14.7,3,21.21,12.13,1.112
1/7/2025,south_africa_china,winter,1,2.1,10,3,13.82,7.42,0.711
1/7/2025,australia_south_korea,winter,1,2,16.3,3,18.07,12.24,1.521
1/7/2025,brazil_malaysia,winter,1,2.14,8.5,3,12.92,7.96,0.809
1/7/2025,west_africa_india,winter,1,2.59,17,3,23.36,14.68,1.328
1/7/2025,australia_china,winter,1,2.53,9.4,3,16.75,11.24,0.351
1/7/2025,brazil_china,winter,1,1.8,8.5,3,10.14,6.03,0.625
1/8/2025,canada_china,winter,1,2.7,10.7,3,19.17,13.26,1.145
1/9/2025,indonesia_india,winter,1,2,10.9,3,13.76,9.38,0.734
1/9/2025,west_africa_india,winter,1,3.01,9.9,5,20.99,13.63,1.038
1/9/2025,australia_china,winter,1,2.39,19.5,3,23.73,14.89,1.342
1/10/2025,brazil_malaysia,winter,1,2.58,8.7,3,16.61,10.28,1.283
1/11/2025,australia_south_korea,winter,1,2.2,18.6,3,21.5,14.79,1.017
1/11/2025,west_africa_india,winter,1,1.97,11.4,3,13.91,7.91,1.056
1/11/2025,indonesia_india,winter,1,3.18,14,5,25.67,14.58,1.161
1/11/2025,south_africa_china,winter,1,3.15,12.5,5,24.17,14.14,1.484
1/11/2025,brazil_china,winter,1,2.05,11.8,3,14.88,8.91,0.802
1/12/2025,canada_china,winter,1,2.98,18.2,3,27.41,18.13,1.987
1/12/2025,brazil_malaysia,winter,1,3.49,17.7,5,31.11,20.85,2.141
1/13/2025,brazil_china,winter,1,2.5,19.8,3,24.85,15.27,2.298
1/13/2025,australia_china,winter,1,3.81,16,5,32.26,21.76,1.229
1/13/2025,south_africa_china,winter,1,2.35,10.9,3,16.51,8.85,0.854
1/14/2025,indonesia_india,winter,1,1.92,14.4,3,15.91,9.88,0.895
1/15/2025,canada_china,winter,1,3.87,14.6,5,31.65,19.67,1.701
1/15/2025,west_africa_india,winter,1,2.59,11.6,3,19.05,11.65,0.967
1/15/2025,brazil_china,winter,1,2.03,17.6,3,19.34,12.63,1.214
1/15/2025,australia_south_korea,winter,1,2.22,15.8,3,19.34,13.5,1.483
1/16/2025,australia_china,winter,1,1.51,12.2,3,10.91,5.7,0.896
1/16/2025,brazil_malaysia,winter,1,1.66,15.6,3,14.77,8.85,1.371
1/16/2025,south_africa_china,winter,1,2.28,9.4,3,14.72,7.39,1.053
1/17/2025,west_africa_india,winter,1,1.74,7,3,8.55,4.72,0.64
1/17/2025,australia_south_korea,winter,1,2.76,11.3,3,20.16,11.2,1.261
1/18/2025,canada_china,winter,1,2.91,17.2,3,26.11,16.92,1.746
1/18/2025,indonesia_india,winter,1,2.88,12.9,3,22.41,13.56,1.054
1/18/2025,brazil_china,winter,1,2.58,14.5,3,21.23,15.31,1.513
1/18/2025,brazil_malaysia,winter,1,1.67,15.5,3,14.76,7.91,1.335
1/19/2025,australia_china,winter,1,2.45,6.3,3,13.61,6.96,0.391
1/20/2025,south_africa_china,winter,1,1.84,10.4,3,11.98,7.74,0.806
1/20/2025,west_africa_india,winter,1,1.75,14.7,3,14.8,11.34,0.924
1/20/2025,australia_south_korea,winter,1,3.33,10.1,5,23.73,14.98,1.254
1/20/2025,brazil_china,winter,1,1.92,10.1,3,12.49,7.88,0.339
1/21/2025,indonesia_india,winter,1,2.11,14.3,3,17.38,11.98,0.788
1/22/2025,australia_china,winter,1,3.18,11.5,5,23.62,15.45,1.434
1/22/2025,canada_china,winter,1,3.24,19,5,30.16,20.45,1.773
1/22/2025,brazil_malaysia,winter,1,2.75,18.8,3,26.02,14.72,1.652
1/23/2025,australia_south_korea,winter,1,2.51,13.3,3,19.74,10.83,1.05
1/23/2025,south_africa_china,winter,1,2.56,13.7,3,20.43,12.92,1.549
1/23/2025,west_africa_india,winter,1,1.9,15,3,16.27,9.79,0.93
1/24/2025,brazil_china,winter,1,2.45,15,3,20.59,13.96,1.718
1/25/2025,indonesia_india,winter,1,1.69,10.1,3,10.55,6.66,0.571
1/25/2025,west_africa_india,winter,1,1.84,12.1,3,13.44,9.46,1.21
1/25/2025,brazil_malaysia,winter,1,2.68,15.1,3,22.56,15.9,1.462
1/25/2025,australia_south_korea,winter,1,2.49,11.3,3,17.93,11.83,0.969
1/26/2025,south_africa_china,winter,1,2.04,14.5,3,16.97,11.26,1.115
1/26/2025,canada_china,winter,1,2.63,11.9,3,19.6,12.63,1.336
1/26/2025,australia_china,winter,1,2.75,13.2,3,21.58,14.57,1.205
1/27/2025,australia_south_korea,winter,1,1.05,15.5,3,9.77,7.05,0.681
1/27/2025,brazil_china,winter,1,1.84,14.4,3,15.21,9.57,1.15
1/28/2025,west_africa_india,winter,1,2.73,14.4,3,22.38,14.7,1.296
1/28/2025,brazil_malaysia,winter,1,2.36,16.7,3,21.25,13.4,1.507
1/28/2025,canada_china,winter,1,1.47,10.3,3,8.97,5.28,0.261
1/29/2025,indonesia_india,winter,1,1.66,13.7,3,13.25,8.59,0.969
1/30/2025,australia_china,winter,1,3.29,16.1,5,28.18,19.26,1.55
1/30/2025,brazil_china,winter,1,2.31,11.8,3,16.91,10.56,0.96
1/30/2025,south_africa_china,winter,1,1.56,11.6,3,10.74,8.31,1.159
1/30/2025,australia_south_korea,winter,1,1.51,15.4,3,13.42,11.1,0.804
1/31/2025,indonesia_india,winter,1,3.52,19.6,5,32.84,20.8,1.162
1/31/2025,canada_china,winter,1,2.02,16,3,17.97,11.22,1.043
2/1/2025,brazil_china,winter,2,2.89,16.8,3,25.52,16.29,1.911
2/1/2025,australia_china,winter,2,1.3,15,3,11.33,8.46,0.811
2/1/2025,brazil_malaysia,winter,2,1.79,13.1,3,13.83,9.35,1.337
2/1/2025,west_africa_india,winter,2,1.67,19.4,3,17.83,12.47,0.944
2/2/2025,canada_china,winter,2,1.85,11.4,3,12.92,8.42,0.866
2/2/2025,south_africa_china,winter,2,2.05,12.6,3,15.51,8.86,0.899
2/2/2025,australia_south_korea,winter,2,2.78,12.3,3,21.06,12.54,1.134
2/3/2025,australia_china,winter,2,3.58,11.9,5,27.22,16.11,1.291
2/3/2025,indonesia_india,winter,2,2.62,19.7,3,25.73,18.04,1.521
2/4/2025,brazil_malaysia,winter,2,2.75,7.4,3,16.96,9.22,1.07
2/5/2025,west_africa_india,winter,2,1.89,11.1,3,12.94,7.24,0.852
2/5/2025,canada_china,winter,2,2.65,14.5,3,21.86,12.93,1.511
2/5/2025,indonesia_india,winter,2,1.95,9.9,3,12.56,7.22,0.741
2/5/2025,brazil_china,winter,2,1.95,9.5,3,12.16,7.26,0.899
