date,route,season,month,significant_wave_height_m,wind_speed_knots,sea_state_code,speed_reduction_pct,fuel_increase_pct,voyage_delay_days
12/1/2024,australia_china,winter,12,3.2,16.19,5,23.86,11.19,1.147
12/1/2024,australia_south_korea,winter,12,3.18,9.34,5,10,5,0.288
12/1/2024,brazil_china,winter,12,3.19,13.16,5,10,5.69,1.097
12/1/2024,brazil_malaysia,winter,12,2.32,10.71,4,29.89,16.94,2.814
12/2/2024,canada_china,winter,12,1.93,19.11,3,10,6.7,0.594
12/2/2024,indonesia_india,winter,12,2.01,20.84,4,20.1,10.81,0.655
12/2/2024,south_africa_china,winter,12,2.46,13.83,4,36.65,17.93,2.848
12/2/2024,west_africa_india,winter,12,2.85,14.77,4,23.84,13.39,1.383
12/3/2024,australia_china,winter,12,0.68,17.4,2,25.36,13.37,1.245
12/3/2024,australia_south_korea,winter,12,3.95,14.24,5,10,7.22,0.3
12/3/2024,brazil_china,winter,12,1.43,12.78,3,31.77,19.71,3.479
12/4/2024,brazil_malaysia,winter,12,2.98,16.19,4,27.15,13.87,2.677
12/4/2024,canada_china,winter,12,2.24,15.3,4,40,22.1,2.75
12/5/2024,indonesia_india,winter,12,2.8,11.32,4,38.91,22.72,0.972
12/5/2024,south_africa_china,winter,12,1.69,14.56,3,28.29,14.8,2.255
12/5/2024,west_africa_india,winter,12,3.58,16.11,5,29.73,14.37,1.884
12/5/2024,australia_china,winter,12,1.31,16.54,3,38.94,20.87,1.637
12/5/2024,australia_south_korea,winter,12,2.17,15.13,4,40,19.65,1.826
12/6/2024,brazil_china,winter,12,1.15,19.58,3,11.63,5,1.136
12/7/2024,brazil_malaysia,winter,12,1.8,10.87,3,10,8.28,1.117
12/7/2024,canada_china,winter,12,4.11,17.79,6,16.66,7.68,0.701
12/7/2024,indonesia_india,winter,12,1.2,9.91,3,40,22.05,1.542
12/7/2024,south_africa_china,winter,12,2.76,16.63,4,40,21.71,3.234
12/7/2024,west_africa_india,winter,12,2.39,14.66,4,28.29,12.64,1.613
12/8/2024,australia_china,winter,12,2.24,11.93,4,10,5,0.459
12/8/2024,australia_south_korea,winter,12,3.05,10.18,5,40,18.02,1.965
