vessel,cargo,base_cargo_id,from_pos,load_port,discharge_port,ballast_nm,laden_nm,dur_ballast_days,dur_laden_days,total_duration,loaded_qty,revenue,hire_net,bunker_expense,misc_expense,profit_loss,tce,origin_port_delay,destination_port_delay,bunker_location
OCEAN HORIZON,MARKET_Guinea Alumina Corp_Bauxite_5,MARKET_Guinea Alumina Corp_Bauxite_5,MAP TA PHUT,KAMSAR ANCHORAGE,MANGALORE,9500.0,6800.0,30.92447916666666,23.03523035230352,90.52804285230351,175000.0,3924375.0,1048544.2996141387,1204339.8637872625,159500.0,1511990.8365985986,37019.04854645549,4.65,16.71,Singapore
PACIFIC GLORY,MARKET_Guinea Alumina Corp_Bauxite_5,MARKET_Guinea Alumina Corp_Bauxite_5,GWANGYANG,KAMSAR ANCHORAGE,MANGALORE,11200.0,6800.0,36.74540682414699,23.224043715847,96.37778387332732,175000.0,3924375.0,1070907.5312755476,1354691.4607278088,159500.0,1339276.0079966437,32059.784355086736,4.65,16.55,Singapore
ANN BELL,MARKET_Guinea Alumina Corp_Bauxite_5,MARKET_Guinea Alumina Corp_Bauxite_5,QINGDAO,KAMSAR ANCHORAGE,MANGALORE,11124.0,6800.0,37.08,23.61111111111111,97.09944444444444,175000.0,3924375.0,858375.2795138889,1723517.8819444443,159500.0,1182981.8385416667,26895.54756293049,4.65,16.55,Qingdao
GOLDEN ASCENT,MARKET_Guinea Alumina Corp_Bauxite_5,MARKET_Guinea Alumina Corp_Bauxite_5,FANGCHENG,KAMSAR ANCHORAGE,MANGALORE,10800.0,6800.0,36.58536585365853,24.011299435028246,97.00499862202011,175000.0,3924375.0,1017824.2408730363,1683713.2704009921,159500.0,1063337.4887259714,27454.149032785084,4.65,16.55,Qingdao
PACIFIC GLORY,MARKET_Vale Malaysia_Iron Ore_7,MARKET_Vale Malaysia_Iron Ore_7,GWANGYANG,TUBARAO,TELUK RUBIAH,11500.0,10200.0,37.72965879265092,34.8360655737705,103.81572436642142,180000.0,3811500.0,1218171.4935996733,1630852.930822684,174500.0,787975.5755776428,23459.393977431468,15.18,3.12,Singapore
OCEAN HORIZON,MARKET_Vale Malaysia_Iron Ore_7,MARKET_Vale Malaysia_Iron Ore_7,MAP TA PHUT,TUBARAO,TELUK RUBIAH,11900.0,10200.0,38.736979166666664,34.55284552845528,104.53982469512195,180000.0,3811500.0,1307341.8424876144,1612084.0002642274,174500.0,717574.157248158,23480.057002600905,15.18,3.12,Singapore
ANN BELL,MARKET_Vale Malaysia_Iron Ore_7,MARKET_Vale Malaysia_Iron Ore_7,QINGDAO,TUBARAO,TELUK RUBIAH,10480.4,10200.0,34.934666666666665,35.416666666666664,101.59133333333334,180000.0,3811500.0,942086.0166666666,1994264.5916666663,174500.0,700649.3916666671,19720.397532652543,15.18,3.11,Qingdao
PACIFIC GLORY,MARKET_Vale_Iron Ore_1,MARKET_Vale_Iron Ore_1,GWANGYANG,PONTA DA MADEIRA,CAOFEIDIAN,11900.0,11049.5,39.04199475065617,37.73736338797815,110.04935813863432,182320.0,3860626.0,1271784.456684846,1722525.6782784197,179500.0,686815.8650367344,21937.885336050877,16.99,3.78,Singapore
OCEAN HORIZON,MARKET_Adaro_Thermal Coal_3,MARKET_Adaro_Thermal Coal_3,MAP TA PHUT,TABONEO,KRISHNAPATNAM,1369.64,2411.88,4.458463541666666,8.170325203252032,51.72450303063299,150000.0,1462500.0,392847.66938000184,323083.56684913975,99500.0,647068.7637708585,40128.74304097582,16.64,9.17,Singapore
OCEAN HORIZON,MARKET_Vale_Iron Ore_1,MARKET_Vale_Iron Ore_1,MAP TA PHUT,PONTA DA MADEIRA,CAOFEIDIAN,12300.0,11049.5,40.03906249999999,37.43055555555555,110.73961805555554,181550.0,3844321.25,1363883.1787109373,1701063.5680555552,179500.0,599874.5032335073,21826.898061652762,16.99,3.78,Singapore
